Household_Id,date,month,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,Usage_Type,Acorn,Acorn_grouped,file,Score,Anomaly,Average_Energy_That_Day,Anomaly Class
MAC000569,30/05/2013,May,0.6325,0.765770835,1.84,48,0.469461633,36.76,0.203,Fixed,ACORN-A,Affluent,block_1,-0.0451978,-1,11.18,Over
MAC000379,17/01/2013,Jan,0.6455,0.765583329,1.8099999,48,0.4579932,36.75,0.182,Fixed,ACORN-A,Affluent,block_1,-0.0419759,-1,13.94,Over
MAC001251,01/06/2013,Jun,0.5315,0.7655,2.1459999,48,0.593947771,36.74,0.217,Fixed,ACORN-A,Affluent,block_1,-0.0419759,-1,14.79,Over
MAC003903,02/06/2013,Jun,0.5975,0.765437498,2.178,48,0.41472723,36.74,0.314,Dynamic,ACORN-B,Affluent,block_3,-0.0419759,-1,12.88,Over
MAC003449,27/12/2013,Dec,0.564,0.765479175,1.714,48,0.574173235,36.74,0.197,Fixed,ACORN-A,Affluent,block_0,-0.0419759,-1,14.58,Over
MAC004504,27/01/2013,Jan,0.6695,0.765395835,1.7920001,48,0.334683073,36.74,0.437,Fixed,ACORN-C,Affluent,block_5,-0.0419759,-1,13.75,Over
MAC001836,06/11/2013,Nov,0.5785,0.765270827,3.0039999,48,0.570671358,36.73,0.209,Fixed,ACORN-A,Affluent,block_2,-0.0419759,-1,11.58,Over
MAC003597,23/03/2013,Mar,0.5945,0.765166671,2.1440001,48,0.449465618,36.73,0.343,Fixed,ACORN-A,Affluent,block_0,-0.0419759,-1,14.18,Over
MAC003607,13/10/2013,Oct,0.953,0.765145835,2.112,48,0.63208517,36.73,0.054,Fixed,ACORN-B,Affluent,block_3,-0.0419759,-1,13.6,Over
MAC003668,11/07/2013,Jul,0.3655,0.765062498,2.5250001,48,0.708601479,36.72,0.176,Fixed,ACORN-A,Affluent,block_0,-0.0419759,-1,12.69,Over
MAC003061,12/07/2013,Jul,0.456,0.765104163,3.105,48,0.735547124,36.72,0.162,Dynamic,ACORN-C,Affluent,block_5,-0.0419759,-1,14.39,Over
MAC003349,17/02/2013,Feb,0.7415,0.765041669,2.1059999,48,0.498877074,36.72,0.216,Fixed,ACORN-C,Affluent,block_6,-0.0419759,-1,13.24,Over
MAC000535,09/08/2013,Aug,0.7645,0.7648125,0.835,48,0.039499882,36.71,0.692,Fixed,ACORN-A,Affluent,block_1,-0.0419759,-1,12.28,Over
MAC002862,02/11/2013,Nov,0.2515,0.764791658,2.9909999,48,0.862602158,36.71,0.036,Fixed,ACORN-C,Affluent,block_3,-0.0419759,-1,13.92,Over
MAC003775,31/03/2013,Mar,0.875,0.764833331,2.171,48,0.536130989,36.71,0.101,Fixed,ACORN-A,Affluent,block_0,-0.0419759,-1,13.66,Over
